track_name,artist(s)_name,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,release_date
Master of Puppets (Remastered),Metallica,6080,0,704171068,105,E,Minor,54,59,83,0,44,20,4,https://i.scdn.co/image/ab67616d0000b273cad4832cb7b5844343278daa,1986-03-03
BREAK MY SOUL,Beyoncï¿,9724,0,354614964,115,C#,Minor,70,87,88,4,0,26,8,Not Found,2022-06-21
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",2341,0,279717388,110,C#,Major,91,59,82,8,0,6,8,Not Found,2022-06-16
Massive,Drake,5263,0,195628667,125,E,Minor,51,5,68,12,2,15,6,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,2022-06-17
Betty (Get Money),Yung Gravy,2402,0,221752937,102,C#,Major,73,62,75,0,0,34,8,https://i.scdn.co/image/ab67616d0000b273633674a4e5072dabf5173069,2022-06-10
Ojos Marrones,Lasso,795,11,263280370,120,G#,Minor,81,72,65,4,0,14,4,https://i.scdn.co/image/ab67616d0000b273c6fbbdf9c172f4f68a89198a,2022-02-06
POP!,Nayeon,571,0,213505179,97,D,Major,80,36,86,4,0,3,5,https://i.scdn.co/image/ab67616d0000b2735fb4a9cfbeb3b7beb337ed02,2022-06-24
Layla,"Schï¿½ï¿½rze, DJ R",832,3,130419412,140,F,Minor,44,41,92,0,0,44,7,Not Found,2022-03-24
MORE,j-hope,565,0,155795783,97,D,Major,78,31,72,1,0,11,4,https://i.scdn.co/image/ab67616d0000b273ce5bba40b16f887e0461c6e2,2022-07-01
Sweet Child O' Mine,Guns N' Roses,41231,1,1553497987,125,F#,Major,45,67,90,9,11,10,5,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5,1987-01-01
Last Last,Burna Boy,4526,12,293466523,88,D#,Minor,80,55,56,13,0,8,9,https://i.scdn.co/image/ab67616d0000b27312ebde47882280b814275600,2022-05-12
SNAP,Rosa Linn,1818,0,711366595,170,Unknown,Major,56,52,64,11,0,45,7,https://i.scdn.co/image/ab67616d0000b2731391b1fdb63da53e5b112224,2022-03-19
Sticky,Drake,2814,0,191448892,137,A#,Minor,88,8,49,9,0,9,14,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,2022-06-17
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",1601,0,85924992,157,A,Major,88,52,69,0,0,8,23,https://i.scdn.co/image/ab67616d0000b273b629e669238964a725937c1b,2022-07-01
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",894,4,176103902,130,F#,Major,95,83,57,54,0,10,25,https://i.scdn.co/image/ab67616d0000b27302c3ff07d407f3e30c395243,2022-06-03
La Loto,"Anitta, Tini, Becky G",945,0,121189256,90,C#,Major,85,80,83,10,0,8,11,Not Found,2022-07-06
die first,Nessa Barrett,767,0,131746175,183,G#,Minor,44,44,67,7,0,12,13,https://i.scdn.co/image/ab67616d0000b273fe6b11174f7eaddd74e870e0,2022-06-24
Afraid To Feel,LF System,5898,5,244790012,128,C#,Major,58,68,91,2,0,27,11,https://i.scdn.co/image/ab67616d0000b273ced808ef1567eaf901041438,2022-05-02
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",685,2,129314708,130,D#,Minor,71,78,40,46,0,7,45,https://i.scdn.co/image/ab67616d0000b27352cf91ed2a3ed757c6faaa8a,2022-06-10
cï¿½ï¿½mo dormi,Rels B,1452,35,331511413,126,C#,Major,63,56,43,24,0,12,23,Not Found,2022-08-04
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",1456,0,219196651,120,Unknown,Major,77,94,87,2,0,23,12,https://i.scdn.co/image/ab67616d0000b2738c47a33a55c6d23cc9d2cf3f,2022-08-05
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",2107,0,170732845,130,E,Minor,72,18,46,7,0,28,8,https://i.scdn.co/image/ab67616d0000b273b690b30a50c94c6da49ba948,2022-08-05
